passenger	1641
mechanical	3314
government	1002
operation	2897
else	79

1	1472
0	1374
3	1443
2	1445
5	953
4	1472
6	774

1	1304
0	908
3	1750
2	1925
5	1226
4	1820

216	17
217	25
214	11
215	22
212	26
213	19
211	2
264	8
265	10
218	25
219	6
133	60
132	90
131	7
130	141
137	106
135	48
134	86
95	7
139	43
138	36
225	8
24	39
25	12
26	64
224	3
20	33
21	74
22	12
23	5
223	23
28	10
29	21
94	76
289	134
0	119
346	25
347	17
340	20
221	18
342	26
343	15
281	9
280	6
283	3
220	17
285	22
284	32
287	22
87	8
66	28
120	21
121	48
122	2
123	16
124	84
125	47
126	181
127	42
128	17
129	49
269	59
69	15
91	18
348	12
58	3
55	22
54	87
57	17
56	6
51	35
50	16
53	13
52	110
63	16
298	5
299	10
296	4
297	12
294	20
295	51
292	18
293	12
290	7
291	8
201	15
319	4
318	9
199	22
198	27
200	28
195	6
194	15
197	24
196	103
317	30
190	25
192	20
115	8
114	1
117	26
116	21
111	1
110	25
113	3
112	1
278	44
205	30
313	23
5	132
119	20
118	3
84	32
85	33
207	5
256	9
206	2
4	108
257	8
3	12
254	36
7	49
354	8
312	19
364	24
365	8
362	22
363	15
360	2
361	33
308	5
309	7
345	46
300	19
301	21
302	12
303	2
304	9
305	32
306	52
307	3
108	55
109	12
243	7
370	10
102	9
103	2
100	2
101	2
106	19
107	5
104	2
105	1
39	47
372	12
89	17
33	72
32	7
270	76
30	22
37	11
36	11
35	4
34	10
59	13
88	13
8	272
282	15
339	23
338	21
93	4
271	29
334	12
337	34
336	14
331	8
330	5
333	22
332	29
60	30
61	35
258	7
259	8
64	24
65	7
179	16
178	3
177	26
176	7
175	12
174	20
173	34
172	11
171	6
255	8
203	27
344	71
288	26
253	31
182	5
183	11
180	22
181	24
186	31
187	15
184	84
185	61
188	12
189	7
92	22
311	11
202	16
341	9
310	5
97	4
6	36
316	5
99	33
98	16
38	1
168	6
169	1
228	15
227	10
226	1
166	3
167	9
160	12
222	4
162	36
163	5
11	149
10	43
13	12
12	21
15	38
14	11
17	2
16	50
19	76
18	50
314	11
272	22
349	50
273	34
31	6
275	17
151	4
150	112
153	5
322	8
155	15
154	33
157	8
156	8
159	10
158	14
62	4
277	22
70	15
82	12
279	106
235	35
230	28
231	25
276	21
233	11
81	14
48	3
49	5
46	19
47	112
45	25
43	18
40	96
41	120
1	24
323	28
320	6
321	12
326	39
327	120
325	43
9	12
328	16
329	15
335	3
146	9
147	27
144	49
145	34
142	21
143	6
140	54
141	34
83	168
148	6
149	5
77	16
76	17
75	189
74	12
73	24
72	81
71	29
68	8
96	2
79	31
78	1
2	65
263	19
80	21
262	14
261	12
357	9
356	12
355	16
260	16
353	30
352	1
351	7
350	10
267	12
358	1
67	87
359	8
266	4
